,filename,count_valid_tweets,reply_count,retweet_count,like_count,quote_count,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,negative,neutral,positive,FILME,ANO,RELEASE DATE,MARKETS,DISTRIBUTOR,GENRE,Drama,Action,Comedy,Horror,Adventure,Crime,Fantasy,Biography,Documentary,Animation,Thriller,Mystery,History,Sci-Fi,Romance,Music,Family,Western,Musical,War,MPAA,RUNTIME,ACTOR,CREW,SINOPSE,BUDGET,DOMESTIC_OPENING,DOMESTIC_GROSS,INTERNATIONAL_GROSS,WORLDWIDE_GROSS,BUDGET_DEFLACIONADO,DOMESTIC_OPENING_DEFLACIONADO,DOMESTIC_GROSS_DEFLACIONADO,INTERNATIONAL_GROSS_DEFLACIONADO,WORLDWIDE_GROSS_DEFLACIONADO,SEQUEL,HAVE_SEQUEL,IS_SPINOFF,INFO
0,10-Cloverfield-Lane-sem-retweet.csv,34152,7137,18987,49807,16,0.03025333680512553,0.2852670846280585,0.030638012506585835,0.06798537928497952,0.4455740204690379,0.006788970149281681,0.05930093236967682,0.006074626076375316,0.026836790827653476,0.03027300074942642,0.011007846266676925,0.10268185916184597,0.5214754808906421,0.3758426602286069,10 Cloverfield Lane,2016,March 10  2016,APAC  EMEA,Paramount Pictures,Drama | Horror | Mystery | Sci-Fi | Thriller,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,PG-13,1 hr 43,John Goodman | Mary Elizabeth Winstead | John Gallagher Jr. | Douglas M. Griffin,Dan Trachtenberg | Josh Campbell | Matthew Stuecken | Damien Chazelle | Josh Campbell | Matthew Stuecken | J.J. Abrams | Lindsey Weber | Bear McCreary | Jeff Cutter | Stefan Grube | Ramsey Avery | Amelia Brooke,After getting in a car accident  a woman is held in a shelter with two men  who claim the outside world is affected by a widespread chemical attack.,0,24727437,72082998,38134000,110216998,0,26317981,76719597,40586896,117306493,True,True,False,
1,100-Acres-of-Hell-sem-retweet.csv,29,5,14,22,2,0.03864619225777424,0.2337648909828015,0.05874002235540152,0.48930325617226933,0.09098141002147614,0.0019656368561393658,0.0328417831012208,0.010015415224439314,0.018099470377161024,0.018223968964744437,0.007417965178570573,0.27818304826987195,0.6083621619076565,0.1134547924237518,100 Acres of Hell,2019,October 11  2019,Domestic,Indican Pictures,Action | Crime | Horror | Mystery | Thriller,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,No Info,1 hr 25,Gene Snisky | Jeff Swanton | Jim Roof | Ernest O'Donnell,Hank Leigh Hump | Jason L. Koerner | Jason L. Koerner | Ed McKeever | Gene Snisky | Gene Snisky | Ernest O'Donnell | Michael Romeo | Mark Dennebaum,When ex pro wrestler Buck Severs travels to an abandoned wildlife preserve with his friends for 'Bro's Weekend ' they become the targets of a deadly manhunt and Buck must find the fighter in himself before it's too late.,0,997,5152,0,5152,0,997,5152,0,5152,False,False,False,
2,100-Bloody-Acres-sem-retweet.csv,533,72,195,68,0,0.03606019317125832,0.3336022624980324,0.04201909004599546,0.10518412409844109,0.34571617087734796,0.006679096146174097,0.038712555969371565,0.010059452861559218,0.03352265721189175,0.03758497903207365,0.010859416978031576,0.13443770225677026,0.6285135410324186,0.23704875012209695,100 Bloody Acres,2012,June 28  2013,Domestic,Doppelganger Releasing,Comedy | Horror,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No Info,1 hr 31,Damon Herriman | Angus Sampson | Anna McGahan | Oliver Ackland,Cameron Cairnes | Colin Cairnes | Cameron Cairnes | Colin Cairnes | Kate Croser | Julie Ryan | John Brawley | Joshua Waddell | Tony Cronin,"Reg and Lindsay run an organic fertiliser business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival.",0,3419,6388,0,6388,0,3805,7109,0,7109,False,False,False,
3,13-Sins-sem-retweet.csv,749,81,73,190,0,0.06602934957411974,0.22739750159389424,0.0737340051453354,0.07397348031374469,0.32581213857256697,0.004759216479834187,0.05971480230094578,0.024429768954516883,0.11114552409552836,0.02404774993075829,0.00895645998900191,0.23866962577130527,0.5349065201687757,0.22642385239435608,13 Sins,2014,April 11  2014,Poland,RADiUS-TWC,Horror | Thriller,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,1 hr 33,Mark Webber | Devon Graye | Tom Bower | Rutina Wesley,Daniel Stamm | David Birke | Daniel Stamm | Chookiat Sakveerakul | Eakasit Thairaat | Brian Kavanaugh-Jones | Kiki Miyake | Steven Squillante | Michael Wandmacher | Zoltan Honti | Shilpa Sahi | James A. Gelarden,A cryptic phone call sets off a dangerous game of risks for Elliot  a down-on-his luck salesman. The game promises increasing rewards for completing 13 tasks  each more sinister than the last.,0,9261,13809,813104,826913,0,9994,14903,877532,892435,False,False,False,
4,1920-London-sem-retweet.csv,1959,113,484,1142,7,0.02044365585781941,0.2910105949257791,0.02819764433014843,0.11578479276088234,0.4077318868896783,0.008393462472345788,0.04236562332708413,0.008186099437370184,0.03330121392826385,0.03310478607931086,0.01148024558843575,0.07901336694413895,0.7003122552066486,0.22067438597891204,1920 London,2016,May 6  2016,Domestic  EMEA,Reliance Films,Horror | Mystery,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,No Info,2 hr,Sharman Joshi | Meera Chopra | Vishal Karwal | Surendra Pal,Dharmendra Suresh Desai | Vikram Bhatt | Sukhmani Sadana | Girish Dhamija | Amar Mohile | Prakash Kutty | Jayant Deshmukh,After her husband is possessed by an evil spirit  a woman turns to her former lover to perform an exorcism.,0,0,0,16077,16077,0,0,0,17111,17111,True,True,False,
5,3-from-Hell-sem-retweet.csv,3040,2204,4213,27669,616,0.1294770394557824,0.2007325313880516,0.11046489619941316,0.11896302436525966,0.3071182660204086,0.005910656181871577,0.03976805433792972,0.007956920415980824,0.0514304732863054,0.021808470284376106,0.006369667574409982,0.23029519740754803,0.4244240922214598,0.3452807078067532,3 from Hell,2019,September 16  2019,Domestic,Saban Films,Horror,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R,1 hr 55,Sheri Moon Zombie | Bill Moseley | Sid Haig | Jeff Daniel Phillips,Rob Zombie | Rob Zombie | Mike Elliott | Rob Zombie | Zeuss | David Daniel | Glenn Garland,After barely surviving a brutal police shootout  the demented Firefly clan unleash a whole new wave of murder  madness and mayhem.,0,0,2172949,122876,2295825,0,0,2172949,122876,2295825,True,False,False,
6,31-sem-retweet.csv,103,33,92,312,9,0.031835118538103224,0.24799052442427386,0.01440946697558382,0.2507493676352416,0.36490541237103524,0.0038625950279681342,0.04266144393166767,0.002546585645106711,0.011014386077309136,0.020066184610539755,0.00995890936271443,0.07089646304030763,0.5245035115620392,0.404600024937643,31,2016,August 26  2016,Domestic,Saban Films,Horror | Thriller,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,1 hr 42,Malcolm McDowell | Richard Brake | Jeff Daniel Phillips | Sheri Moon Zombie,Rob Zombie | Rob Zombie | Mike Elliott | Andy Gould | Matthew Perniciaro | Michael Sherman | Eddie Vaisman | Rob Zombie | John 5 | Bob Marlette | Zeuss | Rob Zombie | David Daniel | Glenn Garland | Rodrigo Cabral,Five carnival workers are kidnapped and held hostage in an abandoned  hellish compound where they are forced to participate in a violent game  the goal of which is to survive twelve hours against a gang of sadistic clowns.,0,0,779820,70599,850419,0,0,829980,75140,905120,False,False,False,
7,47-Meters-Down-Uncaged-sem-retweet.csv,1973,783,1351,8056,252,0.060172783756586974,0.30775232059497326,0.07994575851513146,0.15073396169939454,0.2497144974979618,0.0051026569891985925,0.038717938653331195,0.012653662099179104,0.0499468302368934,0.03601767937806911,0.00924191005904548,0.16356050906398648,0.5733285055269695,0.2631109858734662,47 Meters Down: Uncaged,2019,August 14  2019,Jamaica,Entertainment Studios Motion Pictures,Adventure | Drama | Horror | Thriller,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,PG-13,1 hr 30,Sophie NÃ©lisse | Corinne Foxx | Brianne Tju | Sistine Rose Stallone,Johannes Roberts | Ernest Riera | Johannes Roberts | James Harris | Robert Jones | Mark Lane | tomandandy | Mark Silk | Martin Brinkler | David Bryan,Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,12000000,8427265,22260900,17737792,39998692,12000000,8427265,22260900,17737792,39998692,True,False,False,
8,47-Meters-Down-sem-retweet.csv,925,140,366,1642,44,0.0823072871876954,0.2795793483433364,0.08473402813538697,0.10979551774568418,0.30173615870722004,0.004801953358495423,0.04457159882636321,0.009370833399388547,0.04073516281194212,0.03289438331112689,0.009473727623809308,0.23461694320386928,0.458399924013663,0.30698313616266526,47 Meters Down,2017,May 25  2017,Italy,Entertainment Studios Motion Pictures,Adventure | Drama | Horror | Thriller,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,PG-13,1 hr 29,Mandy Moore | Claire Holt | Matthew Modine | Chris Johnson,Johannes Roberts | Johannes Roberts | Ernest Riera | James Harris | Mark Lane | tomandandy | Mark Silk | Martin Brinkler | David Bryan,Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby  they must fight to survive.,5300000,11205561,44307191,17880338,62187529,5524889,11681035,46187233,18639036,64826270,False,True,False,
9,7-Witches-sem-retweet.csv,71,5,12,23,1,0.029360772460894975,0.25421772382310653,0.026199635404877766,0.12871464779635342,0.4535953168729386,0.008636044312520961,0.03982995871169993,0.0054245593921325155,0.017777111094763036,0.02551315303541007,0.01073107111856376,0.04873823834596276,0.6710422819637707,0.2802194877278427,7 Witches,2017,April 21  2017,Domestic,Indican Pictures,Horror | Thriller,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,No Info,1 hr 15,Persephone Apostolou | Danika Golombek | Megan Hensley | Macall Gordon,Brady Hall | Ed Dougherty | Brady Hall | Ed Dougherty | Brady Hall | Ryan Purcell,Carnage  death  and despair await the ignoble remnants of a persecuted family who assemble for the wedding of their daughter on the eve of an evil 100-year-old curse.,0,1875,31100,0,31100,0,1954,32419,0,32419,False,False,False,
10,7-from-Etheria-sem-retweet.csv,19,1,60,94,10,0.00662691163750801,0.4211506768080749,0.012552267380095483,0.0888347873681739,0.34421257145310696,0.004064747144615116,0.0654250078246389,0.004546289820848969,0.009526025726747848,0.02779392467346038,0.0152667760971541,0.004491184409217553,0.7086545133865193,0.2868543157452031,7 from Etheria,2017,July 7  2017,Domestic,Parade Deck Films,Horror,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No Info,1 hr 35,Elizabeth Debicki | Javier Godino | David James | Anne Ramsay,Heidi Lee Douglas | Arantxa EchevarrÃ­a | Martha Goddard | Anna Elizabeth James | Karen Lam | Barbara Stepansky | Rebecca Thomson | Claire D'Este | Heidi Lee Douglas | Arantxa EchevarrÃ­a | Douglas Martha Goddard | David Lewis | Lydia Mulvey | Barbara Stepansky | Jesse Baget | Steven Barton | Stacy Pippi Hammon | Heidi Honeycutt | Kayley Vito | Taylor Brusky | Corey Norman,Etheria is the world's most respected showcase of the best new horror  comedy  science fiction  fantasy  action  and thriller films made by emerging women directors.,0,940,2208,0,2208,0,979,2301,0,2301,False,False,False,
11,A-Cure-for-Wellness-sem-retweet.csv,9821,1656,2725,11892,511,0.10692178228304569,0.1370774769753103,0.08247025652429114,0.057279063851357136,0.3829361233422594,0.005569836436408913,0.14938246070193512,0.008689328371869786,0.04636872013026406,0.015449355760002292,0.007855594656026308,0.22151839421821545,0.4750608369275069,0.30342076551731495,A Cure for Wellness,2016,February 15  2017,7 markets,Twentieth Century Fox,Drama | Fantasy | Horror | Mystery | Sci-Fi | Thriller,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,R,2 hr 26,Dane DeHaan | Jason Isaacs | Mia Goth | Ivo Nandi,Gore Verbinski | Justin Haythe | Justin Haythe | Gore Verbinski | David Crockett | Arnon Milchan | Gore Verbinski | Benjamin Wallfisch | Bojan Bazelli | Pete Beaudreau | Lance Pereira | Eve Stewart,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps  but soon suspects that the spa's treatments are not what they seem.",40000000,4356941,8106986,18513016,26620002,42572922,4637192,8628452,19703830,28332282,False,False,False,
